abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Care Coordination;Primary Care;Specialty Care,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Inpatient;Laboratory;Long-Term Care;Pharmacy,State and Regional Demonstrations in Health Information Technology,Nashville,Non-rural;Rural,290-04-0006,,"$5,189,496",Tennessee,Vanderbilt Center for Better Health,"Frisse, Mark E.",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstrations-health-information-technology-tn,Closed,General,Devices;Electronic Medication Administration,State and Regional Demonstration in Health Information Technology: Tennessee (Tennessee)
,Specialty Care,Ambulatory;Ophthalmology;Rehabilitation;Specialty Practice,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,New York,Non-rural,,,"$1,442,113",New York,Lighthouse International,"Stuen, Cynthia",https://healthit.ahrq.gov/ahrq-funded-projects/creating-evidence-base-vision-rehabilitation,Closed,,Clinical Decision Support (CDS) System;Electronic Medical Record (EMR)/Electronic Health Record (EHR),Creating an Evidence Base for Vision Rehabilitation (New York)
,Acute Care;Quality Measurement/Quality Improvement,Inpatient,Demonstrating the Value of Health Information Technology,Iowa City,Rural,,,"$1,304,478",Iowa,University of Iowa,"Ward, Marcia",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-value-rural-hospitals,Closed,Rural Health,Clinical Information Systems;Web-based Reporting Tool,Health Information Technology Value in Rural Hospitals (Iowa)
,Chronic Disease Management,Ambulatory,Health IT Grant,Seattle,Non-rural,,,"$99,992",Washington,Group Health Cooperative,"Ralston, James D.",https://healthit.ahrq.gov/ahrq-funded-projects/patient-provider-electronic-messenger-chronic-illness,Closed,,Consumer Informatics;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet;Patient Portals;Secure Messaging,Patient-Provider Electronic Messenger in Chronic Illness (Washington)
,Acute Care;Medication Management,Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Durham,Non-rural,,,"$1,423,869",North Carolina,Duke University,"Ferranti, Jeffrey",https://healthit.ahrq.gov/ahrq-funded-projects/automated-adverse-drug-event-detection-and-intervention,Closed,General,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Results Reporting,Automated Adverse Drug Event Detection and Intervention (North Carolina)
,Improving Care Across Transitions of Care;Medication Management,Inpatient,Demonstrating the Value of Health Information Technology,Chicago,Non-rural;Rural,,,"$1,256,591",Illinois,University of Illinois at Chicago,"Graumlich, James",https://healthit.ahrq.gov/ahrq-funded-projects/value-technology-transfer-discharge-information,Closed,Adults,Automated Discharge Summary;Clinical Documentation;Computerized Provider Order Entry (CPOE),Value of Technology to Transfer Discharge Information (Illinois)
,Medication Management;Specialty Care,Ambulatory;Inpatient,Demonstrating the Value of Health Information Technology,New Haven,Non-rural,,,"$1,474,873",Connecticut,Yale University,"Friedman, Amy",https://healthit.ahrq.gov/ahrq-funded-projects/web-based-renal-transplant-patient-medication-system,Closed,Adults;Kidney Disease;Low-SES/Low Income;Racial/Ethnic Minorities,Electronic Medical Record (EMR)/Electronic Health Record (EHR),Web-based Renal Transplant Patient Medication System (Connecticut)
,Acute Care,Inpatient,Demonstrating the Value of Health Information Technology,Ann Arbor,Non-rural,,,"$1,486,634",Michigan,University of Michigan at Ann Arbor,"Keenan, Gail",https://healthit.ahrq.gov/ahrq-funded-projects/health-information-technology-support-safe-nursing-care,Closed,,Clinical Decision Support (CDS) System;Internet,Health Information Technology Support for Safe Nursing Care (Michigan)
,Care Coordination;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Inpatient;Laboratory;Pharmacy,State and Regional Demonstrations in Health Information Technology,Murray,Non-rural;Rural,290-04-0002,,"$4,939,058",Utah,Utah Health Information Network,"Root, Jan",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstration-health-information-technology-ut,Closed,General,Computerized Provider Order Entry (CPOE);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Results Reporting,State and Regional Demonstration in Health Information Technology: Utah (Utah)
,Care Coordination;Protected Health Information Data Sharing,Ambulatory;Community Health Center;Emergency Department (ED)/Emergency Room (ER);Health Department;Inpatient;Laboratory;Pharmacy,State and Regional Demonstrations in Health Information Technology,Providence,Non-rural;Rural,290-04-0007,,"$5,000,000",Rhode Island,Rhode Island Department of Health,"Zimmerman, Amy",https://healthit.ahrq.gov/ahrq-funded-projects/state-and-regional-demonstration-health-information-technology-ri,Closed,General,Bar Coding;E-Prescribing;Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Integrated Child Health System;Master Patient Index,State and Regional Demonstration in Health Information Technology: Rhode Island (Rhode Island)
